Даты;OBSHEE;PRITOK;OTTOK;Доля оттока не норм;Доля оттока
31.10.2021;186;186;0;0;0
30.11.2021;181;1;6;-0,0269;-2,69
31.12.2021;181;2;2;0;0
31.01.2022;182;3;2;0,0055;0,55
28.02.2022;180;1;3;-0,011;-1,1
31.03.2022;179;1;2;-0,0056;-0,56
30.04.2022;184;9;4;0,0279;2,79
31.05.2022;184;3;3;0;0
30.06.2022;188;7;3;0,0217;2,17
31.07.2022;179;1;10;-0,0479;-4,79
31.08.2022;159;2;22;-0,1117;-11,17
30.09.2022;659;512;12;3,1447;314,47
31.10.2022;1341;694;12;1,0349;103,49
30.11.2022;2061;736;16;0,5369;53,69
31.12.2022;2910;865;16;0,4119;41,19
31.01.2023;3562;678;27;0,2241;22,41
28.02.2023;4295;773;40;0,2058;20,58
31.03.2023;5276;1014;33;0,2284;22,84
30.04.2023;6161;932;48;0,1677;16,77
31.05.2023;7017;326;70;0,1389;13,89
30.06.2023;7852;883;48;0,119;11,9
31.07.2023;8396;568;42;0,0693;6,93
31.08.2023;8511;208;93;0,0137;1,37
30.09.2023;8546;143;108;0,0041;0,41
