Даты;OBSHEE;Пользователи;OTTOK;Типы;;;;;;
31.10.2021;186;186;0;Приток;;;;;;
30.11.2021;181;1;6;Приток;;;;;;
31.12.2021;181;2;2;Приток;;;;;;
31.01.2022;182;3;2;Приток;;;;;;
28.02.2022;180;1;3;Приток;;;;;;
31.03.2022;179;1;2;Приток;;;;;;
30.04.2022;184;9;4;Приток;;;;;;
31.05.2022;184;3;3;Приток;;;;;;
30.06.2022;188;7;3;Приток;;;;;;
31.07.2022;179;1;10;Приток;;;;;;
31.08.2022;159;2;22;Приток;;;;;;
30.09.2022;659;512;12;Приток;;;;;;
31.10.2022;1341;694;12;Приток;;;;;;
30.11.2022;2061;736;16;Приток;;;;;;
31.12.2022;2910;865;16;Приток;;;;;;
31.01.2023;3562;678;27;Приток;;;;;;
28.02.2023;4295;773;40;Приток;;;;;;
31.03.2023;5276;1014;33;Приток;;;;;;
30.04.2023;6161;932;48;Приток;;;;;;
31.05.2023;7017;326;70;Приток;;;;;;
30.06.2023;7852;883;48;Приток;;;;;;
31.07.2023;8396;568;42;Приток;;;;;;
31.08.2023;8511;208;93;Приток;;;;;;
30.09.2023;8546;143;108;Приток;;;;;;
31.10.2023;;3230;;Приток;;;;;;
30.11.2023;;3239;;Приток;;;;;;
31.12.2023;;5775;;Приток;;;;;;
31.10.2021;;0;;Отток;;;;;;
30.11.2021;;6;;Отток;;;;;;
31.12.2021;;2;;Отток;;;;;;
31.01.2022;;2;;Отток;;;;;;
28.02.2022;;3;;Отток;;;;;;
31.03.2022;;2;;Отток;;;;;;
30.04.2022;;4;;Отток;;;;;;
31.05.2022;;3;;Отток;;;;;;
30.06.2022;;3;;Отток;;;;;;
31.07.2022;;10;;Отток;;;;;;
31.08.2022;;22;;Отток;;;;;;
30.09.2022;;12;;Отток;;;;;;
31.10.2022;;12;;Отток;;;;;;
30.11.2022;;16;;Отток;;;;;;
31.12.2022;;16;;Отток;;;;;;
31.01.2023;;27;;Отток;;;;;;
28.02.2023;;40;;Отток;;;;;;
31.03.2023;;33;;Отток;;;;;;
30.04.2023;;48;;Отток;;;;;;
31.05.2023;;70;;Отток;;;;;;
30.06.2023;;48;;Отток;;;;;;
31.07.2023;;42;;Отток;;;;;;
31.08.2023;;93;;Отток;;;;;;
30.09.2023;;108;;Отток;;;;;;
31.10.2023;;;;Отток;;;;;;
30.11.2023;;;;Отток;;;;;;
31.12.2023;;;;Отток;;;;;;
